PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
1,35.227,71.32,35.26,768,0.68,-0.24,3.55,333972.38
1,21.459,82.16,36.61,733,0.86,0.41,1.99,254487.49
1,17.846,68.89,36.64,703,0.64,1.03,1.62,248880.47
1,20.865,68.71,36.92,703,0.83,1.03,1.93,240383.64
1,15.05,88.8,39.3,702,0.88,1.37,1.35,234636.63
1,23.543,69.2,37.64,698,1.16,1.15,2.21,235593.49
0,64.715,71.78,37.6,724,1.1,0.54,8.31,343909.87
0,57.166,70.16,36.31,755,1.13,0.15,6.82,332046.75
1,15.613,88.52,39.11,702,0.87,1.32,1.4,234907.02
1,48.913,71.67,35.53,765,0.85,-0.21,5.44,337228.71
0,28.068,68.09,36.24,742,0.42,0.29,2.71,347147.59
1,12.684,86.03,38.07,706,0.61,0.89,1.12,246868.57
1,13.178,82.75,37.28,727,0.34,0.55,1.17,274530.01
0,39.884,71.31,37.67,740,0.81,0.35,4.15,335360.42
0,51.742,71.37,36.53,755,0.92,0.12,5.89,339553.17
0,56.65,71.03,37.19,745,1.08,0.24,6.73,332153.67
1,30.47,82.06,35.71,758,0.41,-0.11,2.98,275940.48
1,22.333,85.59,37.34,760,0.65,-0.22,2.08,312613.24
1,6.259,84.38,37.97,709,0.41,0.91,0.54,249575.53
1,17.061,71.96,36.61,716,0.65,0.85,1.55,296411.32
0,32.068,67.68,35.49,753,0.33,0.16,3.17,350822.99
0,48.055,71.88,37.08,742,0.84,0.24,5.31,352712.32
1,12.614,83.88,38.12,708,0.65,0.99,1.12,251074.2
1,12.779,86.23,40.4,706,0.66,1.13,1.13,247894.55
1,13.186,87.19,39.91,705,0.6,1.16,1.17,239990.03
1,7.499,86.89,39.46,706,0.42,1.16,0.65,243045.33
1,11.252,69.73,37.32,695,0.65,1.15,0.99,243869.25
1,13.306,85.97,37.47,719,0.64,0.65,1.18,258144.88
1,9.818,89.12,39.95,702,0.58,1.27,0.86,250275.14
0,64.562,71.9,37.43,728,1.06,0.44,8.28,346314.36
1,6.276,88.35,37.12,727,0.4,0.62,0.54,277902.89
1,8.299,88.65,39.46,702,0.6,1.26,0.72,251919.4
0,42.277,72.3,35.79,757,0.67,0.03,4.48,376515.23
1,22.934,71.2,35.32,768,0.62,-0.24,2.15,337713.83
0,19.555,72.04,37.53,743,0.34,0.31,1.8,347939.91
1,22.529,83.04,37.94,714,1.15,0.84,2.1,261236.33
1,25.675,68.06,37.17,708,1.15,0.88,2.44,256532.96
1,9.7,84.62,38.03,709,0.58,0.95,0.85,248882.22
1,14.464,74.08,39.23,693,0.91,1.31,1.29,261646.5
1,12.757,69.89,37.37,694,0.82,1.2,1.13,245151.69
1,17.334,87.51,37.33,759,0.42,-0.24,1.57,321405.79
1,7.994,86.83,38.44,706,0.38,1.09,0.69,247274.91
1,19.944,69.44,38.48,687,1.16,1.37,1.84,255688.98
1,8.118,91.21,40.55,703,0.89,1.24,0.7,249688.31
1,12.943,71,37.96,686,0.61,1.33,1.15,260505.12
1,13.321,68.59,36.81,707,0.64,0.94,1.18,245153.36
1,33.847,71.06,35.33,769,0.67,-0.27,3.38,345029.99
0,29.987,72.19,34.67,765,0.35,-0.14,2.93,390700.83
0,39.443,71.88,37.17,738,0.82,0.3,4.09,351031.69
1,15.155,71.01,38.59,685,0.65,1.39,1.36,262544.52
1,23.48,71.06,39.08,696,1.09,1.3,2.21,269842.16
1,10.646,86.18,39.29,702,0.36,1.32,0.93,239728.81
0,50.311,71.89,37.22,734,0.88,0.37,5.66,349414.25
1,10.802,90.63,40.68,701,0.9,1.2,0.95,251808.7
1,15.299,71.18,38.86,687,0.82,1.38,1.37,264630.64
1,14.338,89.72,38.21,703,1.14,1.11,1.28,250503.2
1,10.837,88.4,38.46,702,0.85,1.13,0.95,249708.02
