HPI,Rates,UE,FICO,Age,RollRate
-35,-1,2.5,650,12,2.061474495
-30,-1,2.5,650,12,1.579483004
-25,-1,2.5,650,12,1.239590688
-20,-1,2.5,650,12,0.994720134
-10,-1,2.5,650,12,0.651630287
-5,-1,2.5,650,12,0.518958623
0,-1,2.5,650,12,0.418213275
5,-1,2.5,650,12,0.343539175
10,-1,2.5,650,12,0.291382425
15,-1,2.5,650,12,0.256111464
20,-1,2.5,650,12,0.227682361
-50,-1,3.5,650,12,7.860997483
-45,-1,3.5,650,12,6.867945987
-40,-1,3.5,650,12,5.975684466
-35,-1,3.5,650,12,5.295026505
-30,-1,3.5,650,12,4.552274509
-25,-1,3.5,650,12,3.878979895
-20,-1,3.5,650,12,3.294908636
-10,-1,3.5,650,12,2.293508665
-5,-1,3.5,650,12,1.738993282
0,-1,3.5,650,12,1.354152126
5,-1,3.5,650,12,1.085023762
10,-1,3.5,650,12,0.9054004
15,-1,3.5,650,12,0.788526444
20,-1,3.5,650,12,0.695863536
-50,-1,4.5,650,12,7.242453312
-45,-1,4.5,650,12,7.353595748
-40,-1,4.5,650,12,7.595384918
-35,-1,4.5,650,12,7.70548714
-30,-1,4.5,650,12,6.736474167
-25,-1,4.5,650,12,6.686909761
-20,-1,4.5,650,12,6.378875698
-10,-1,4.5,650,12,5.26680267
-5,-1,4.5,650,12,4.607190818
0,-1,4.5,650,12,3.979521321
5,-1,4.5,650,12,3.445569934
10,-1,4.5,650,12,3.043016852
15,-1,4.5,650,12,2.761102879
20,-1,4.5,650,12,2.519820459
-50,-1,5,650,12,8.870884852
-45,-1,5,650,12,7.244163542
-40,-1,5,650,12,7.653747773
-35,-1,5,650,12,8.095247076
-30,-1,5,650,12,7.149081456
-25,-1,5,650,12,7.490905543
-20,-1,5,650,12,6.706687941
-10,-1,5,650,12,6.603301609
-5,-1,5,650,12,6.079237432
0,-1,5,650,12,5.465804265
5,-1,5,650,12,4.87402008
10,-1,5,650,12,4.394476106
15,-1,5,650,12,4.058663979
20,-1,5,650,12,3.751644049
-50,-1,7.5,650,12,7.951368181
-45,-1,7.5,650,12,9.307418206
-40,-1,7.5,650,12,8.210632132
-35,-1,7.5,650,12,9.398421056
-30,-1,7.5,650,12,8.538149214
-25,-1,7.5,650,12,7.778713233
-20,-1,7.5,650,12,8.61604853
-10,-1,7.5,650,12,7.313179716
-5,-1,7.5,650,12,7.737196708
0,-1,7.5,650,12,7.099191853
5,-1,7.5,650,12,7.650097382
10,-1,7.5,650,12,7.169493344
15,-1,7.5,650,12,6.848445044
20,-1,7.5,650,12,6.559882882
-50,-0.5,0,650,12,0.672839369
-45,-0.5,0,650,12,0.487781289
-40,-0.5,0,650,12,0.371948618
-35,-0.5,0,650,12,0.293548883
-30,-0.5,0,650,12,0.237189305
-25,-0.5,0,650,12,0.193162537
-20,-0.5,0,650,12,0.15884941
-10,-0.5,0,650,12,0.105816301
-5,-0.5,0,650,12,0.085916618
0,-0.5,0,650,12,0.070795634
5,-0.5,0,650,12,0.059633685
10,-0.5,0,650,12,0.051676636
15,-0.5,0,650,12,0.045883658
20,-0.5,0,650,12,0.041199188
-50,-0.5,0.5,650,12,0.849504936
-45,-0.5,0.5,650,12,0.609745947
-40,-0.5,0.5,650,12,0.462125375
-35,-0.5,0.5,650,12,0.363328994
-30,-0.5,0.5,650,12,0.293138957
-25,-0.5,0.5,650,12,0.238551101
-20,-0.5,0.5,650,12,0.196170424
-10,-0.5,0.5,650,12,0.131198136
-5,-0.5,0.5,650,12,0.10636154
0,-0.5,0.5,650,12,0.087388485
5,-0.5,0.5,650,12,0.073305822
10,-0.5,0.5,650,12,0.063278482
15,-0.5,0.5,650,12,0.05609202
20,-0.5,0.5,650,12,0.050278154
-50,-0.5,1,650,12,1.171683575
-45,-0.5,1,650,12,0.826879682
-40,-0.5,1,650,12,0.620358492
-35,-0.5,1,650,12,0.484591446
-30,-0.5,1,650,12,0.389716372
-25,-0.5,1,650,12,0.316486039
-20,-0.5,1,650,12,0.260001399
-10,-0.5,1,650,12,0.174341229
-5,-0.5,1,650,12,0.141033574
0,-0.5,1,650,12,0.115474808
5,-0.5,1,650,12,0.096417681
10,-0.5,1,650,12,0.082877549
15,-0.5,1,650,12,0.073327496
20,-0.5,1,650,12,0.065599942
-50,-0.5,1.5,650,12,1.812881659
-45,-0.5,1.5,650,12,1.240636012
-40,-0.5,1.5,650,12,0.914139566
-35,-0.5,1.5,650,12,0.70589015
-30,-0.5,1.5,650,12,0.563901356
-25,-0.5,1.5,650,12,0.455786237
-20,-0.5,1.5,650,12,0.373327473
-10,-0.5,1.5,650,12,0.250177918
-5,-0.5,1.5,650,12,0.201750527
0,-0.5,1.5,650,12,0.164513346
5,-0.5,1.5,650,12,0.136684874
10,-0.5,1.5,650,12,0.116981359
15,-0.5,1.5,650,12,0.103292069
20,-0.5,1.5,650,12,0.092218653
-50,-0.5,2.5,650,12,4.798144037
-45,-0.5,2.5,650,12,3.625844146
-40,-0.5,2.5,650,12,2.818167473
-35,-0.5,2.5,650,12,2.060670295
-30,-0.5,2.5,650,12,1.577040241
-25,-0.5,2.5,650,12,1.236122669
-20,-0.5,2.5,650,12,0.990858926
-10,-0.5,2.5,650,12,0.647794307
-5,-0.5,2.5,650,12,0.515561838
0,-0.5,2.5,650,12,0.415275855
5,-0.5,2.5,650,12,0.341035643
